spec_id,connectivity,confound,reduction,classifier,domain_granularity,h1_auc_edges,h1_auc_latent,h1_delta_auc,h2_delta_d,h2_p,h3_wilcoxon_p,h3_n_factors,h3_between_gt_within,duration_s,error
0,pearson_z,none,none,logistic_l2,domain_7,0.8600642308975643,,,0.06569506328842781,0.001996007984031936,,0,0,14.438464879989624,
1,pearson_z,none,none,logistic_l2,subdomain_14,0.8600642308975643,,,0.050899806815872944,0.001996007984031936,,0,0,13.956748008728027,
2,pearson_z,none,none,svm_linear,domain_7,0.8701201201201201,,,0.06569506328842781,0.001996007984031936,,0,0,35.71206879615784,
3,pearson_z,none,none,svm_linear,subdomain_14,0.8701201201201201,,,0.050899806815872944,0.001996007984031936,,0,0,36.44155406951904,
4,pearson_z,none,fa,logistic_l2,domain_7,0.8600642308975643,0.8385927594260927,-0.02147147147147166,0.06569506328842781,0.001996007984031936,0.08969497680664062,20,12,125.99020218849182,
5,pearson_z,none,fa,logistic_l2,subdomain_14,0.8600642308975643,0.8385927594260927,-0.02147147147147166,0.050899806815872944,0.001996007984031936,0.00830841064453125,20,14,141.00237107276917,
6,pearson_z,none,fa,svm_linear,domain_7,0.8701201201201201,0.8386302969636302,-0.03148982315648985,0.06569506328842781,0.001996007984031936,0.08969497680664062,20,12,172.82150030136108,
7,pearson_z,none,fa,svm_linear,subdomain_14,0.8701201201201201,0.8386302969636302,-0.03148982315648985,0.050899806815872944,0.001996007984031936,0.00830841064453125,20,14,164.292622089386,
8,pearson_z,none,ica,logistic_l2,domain_7,0.8600642308975643,0.8626209542876209,0.0025567233900565256,0.06569506328842781,0.001996007984031936,0.0017779629774352657,50,16,74.89685821533203,
9,pearson_z,none,ica,logistic_l2,subdomain_14,0.8600642308975643,0.8626209542876209,0.0025567233900565256,0.050899806815872944,0.001996007984031936,0.022974872408266123,50,23,77.37194395065308,
10,pearson_z,none,ica,svm_linear,domain_7,0.8701201201201201,0.8692692692692692,-0.0008508508508509038,0.06569506328842781,0.001996007984031936,0.0017779629774352657,50,16,98.20547294616699,
11,pearson_z,none,ica,svm_linear,subdomain_14,0.8701201201201201,0.8692692692692692,-0.0008508508508509038,0.050899806815872944,0.001996007984031936,0.022974872408266123,50,23,99.8500349521637,
12,pearson_z,ols,none,logistic_l2,domain_7,0.8227102102102102,,,0.02432910287090287,0.003992015968063872,,0,0,21.9774329662323,
13,pearson_z,ols,none,logistic_l2,subdomain_14,0.8227102102102102,,,0.02052735196775135,0.03792415169660679,,0,0,21.97152280807495,
14,pearson_z,ols,none,svm_linear,domain_7,0.8424883216549883,,,0.02432910287090287,0.003992015968063872,,0,0,40.06839394569397,
15,pearson_z,ols,none,svm_linear,subdomain_14,0.8424883216549883,,,0.02052735196775135,0.03792415169660679,,0,0,40.48078799247742,
16,pearson_z,ols,fa,logistic_l2,domain_7,0.8227102102102102,0.814627127127127,-0.008083083083083142,0.02432910287090287,0.003992015968063872,0.01923370361328125,20,13,150.37827706336975,
17,pearson_z,ols,fa,logistic_l2,subdomain_14,0.8227102102102102,0.814627127127127,-0.008083083083083142,0.02052735196775135,0.03792415169660679,0.0042209625244140625,20,15,140.19811987876892,
18,pearson_z,ols,fa,svm_linear,domain_7,0.8424883216549883,0.8172339005672338,-0.025254421087754553,0.02432910287090287,0.003992015968063872,0.01923370361328125,20,13,157.17073106765747,
19,pearson_z,ols,fa,svm_linear,subdomain_14,0.8424883216549883,0.8172339005672338,-0.025254421087754553,0.02052735196775135,0.03792415169660679,0.0042209625244140625,20,15,154.6829550266266,
